,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
506724,506724,504230.0,179550.0,-0.499614,51.505228,2,2,1,14/07/2007,7,4,1,25,Dual carriageway,70,4.0,-1,2,1.0,3,3,1,0,5.0,2,2007,7
289063,289063,440420.0,352670.0,-1.398198,53.069726,3,1,2,15/01/2006,1,2,4,6179,Dual carriageway,40,4.0,-1,2,1.0,3,7,1,0,4.0,2,2006,1
350099,350099,177160.0,33690.0,-5.12144,50.161201,3,2,2,10/06/2006,7,18,3,39,Dual carriageway,60,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,6
262898,262898,460620.0,404630.0,-1.086842,53.534824,3,1,1,17/01/2006,3,15,3,18,Dual carriageway,40,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,1
342096,342096,553580.0,138970.0,0.193502,51.129359,3,2,1,01/08/2006,3,8,3,264,Dual carriageway,30,1.0,4,2,1.0,4,3,2,0,5.0,2,2006,8
942493,372482,433080.0,404260.0,-1.502379,53.533949,3,3,2,01/12/2011,5,15,1,1,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2011,12
688100,118089,510020.0,160940.0,-0.421994,51.336858,3,1,1,02/09/2009,4,19,3,3,Dual carriageway,70,4.0,-1,2,1.0,1,0,1,0,5.0,2,2009,9
974099,404088,552640.0,251300.0,0.229032,52.138871,2,2,1,23/07/2011,7,14,3,11,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2011,7
977289,407278,612550.0,241970.0,1.097468,52.035331,3,2,1,18/02/2011,6,7,3,12,Dual carriageway,70,1.0,3,2,1.0,4,3,2,0,5.0,2,2011,2
242831,242831,389220.0,410770.0,-2.164349,53.593387,3,3,3,10/04/2006,2,22,2,627,Dual carriageway,70,4.0,-1,2,1.0,3,3,2,0,5.0,2,2006,4
146669,146669,541110.0,154100.0,0.021353,51.268531,3,2,1,09/03/2005,4,18,1,25,Dual carriageway,70,4.0,-1,2,1.0,1,3,2,0,5.0,2,2005,3
903162,333151,538010.0,182890.0,-0.011865,51.528009,3,1,1,24/02/2011,5,2,3,12,Dual carriageway,50,1.0,6,2,1.0,3,3,2,0,5.0,1,2011,2
322006,322006,501800.0,189700.0,-0.531679,51.596905,3,3,1,14/04/2006,6,10,1,25,Dual carriageway,70,4.0,-1,2,1.0,4,5,1,0,5.0,2,2006,4
754598,184587,503890.0,175930.0,-0.505575,51.472752,3,2,1,22/07/2010,5,17,1,25,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2010,7
194902,194902,246450.0,665730.0,-4.454981,55.860271,2,2,1,15/05/2005,1,10,1,8,Dual carriageway,50,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,5
988618,418607,457620.0,207440.0,-1.166502,51.76264,3,1,1,09/01/2011,1,8,3,40,Dual carriageway,70,4.0,-1,2,1.0,4,3,3,0,5.0,2,2011,1
360807,360807,383920.0,212930.0,-2.234684,51.814723,3,2,1,20/05/2006,7,10,1,5,Dual carriageway,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,5
352057,352057,272680.0,92380.0,-3.80494,50.716999,3,2,2,19/07/2006,4,12,3,30,Dual carriageway,60,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,7
429356,429356,390600.0,407030.0,-2.143385,53.559797,2,1,1,30/08/2007,5,20,2,627,Dual carriageway,70,4.0,-1,2,1.0,3,3,2,0,5.0,2,2007,8
