,Unnamed: 0,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Control,2nd_Road_Class,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Year,Month
1001887,431876,553850.0,174000.0,0.212437,51.444042,3,3,1,04/01/2011,3,18,3,226,One way street,30,3.0,6,3,2.0,3,3,2,0,2.0,1,2011,1
308000,308000,561030.0,303210.0,0.376429,52.602781,3,2,1,26/10/2006,5,14,4,1512,One way street,30,1.0,-1,2,1.0,4,3,2,0,5.0,2,2006,10
384,384,524720.0,179110.0,-0.204683,51.497127,3,2,1,03/08/2005,4,19,3,3220,One way street,30,3.0,3,2,1.0,4,3,2,0,5.0,1,2005,8
149715,149715,591230.0,144640.0,0.733998,51.168964,3,3,1,18/04/2005,2,19,6,0,One way street,60,1.0,6,2,1.0,4,3,2,0,5.0,2,2005,4
654298,84287,457610.0,339920.0,-1.143938,52.953551,3,2,2,05/12/2009,7,17,6,0,One way street,30,1.0,6,2,1.0,3,5,1,0,5.0,1,2009,12
820643,250632,475620.0,260750.0,-0.893979,52.239717,3,1,1,17/10/2010,1,3,5,178,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2010,10
53495,53495,435480.0,568270.0,-1.446776,55.007755,3,1,1,17/03/2005,5,16,6,236,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,3
827728,257717,509050.0,222190.0,-0.416873,51.887565,2,1,1,13/06/2010,1,14,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2010,6
530515,530515,531180.0,104550.0,-0.138842,50.825569,3,2,1,04/07/2007,4,10,5,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2007,7
434685,434685,425740.0,564310.0,-1.599417,54.972767,3,1,1,24/05/2007,5,1,4,1600,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2007,5
979578,409567,508290.0,221410.0,-0.428157,51.880703,2,1,1,12/04/2011,3,12,6,0,One way street,20,4.0,-1,2,1.0,4,3,2,0,5.0,1,2011,4
549342,549342,224500.0,385330.0,-4.637293,53.335681,3,1,1,24/08/2007,6,11,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,3,2007,8
957522,387511,404310.0,267340.0,-1.938223,52.304129,3,1,1,24/06/2011,6,13,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2011,6
964872,394861,479806.0,354150.0,-0.810106,53.078603,3,1,1,30/12/2011,6,12,4,6166,One way street,30,1.0,6,2,4.0,4,2,0,0,5.0,1,2011,12
494905,494905,616710.0,244110.0,1.159376,52.052934,3,1,1,05/10/2007,6,13,3,1022,One way street,30,1.0,3,2,4.0,4,3,2,1,5.0,1,2007,10
943254,373243,430750.0,393370.0,-1.538595,53.436207,3,2,2,10/01/2011,2,11,3,6102,One way street,30,1.0,5,2,4.0,4,5,1,0,5.0,2,2011,1
201056,201056,530110.0,179670.0,-0.126871,51.500946,3,1,1,01/11/2006,4,7,3,3212,One way street,30,4.0,-1,2,1.0,4,3,2,6,5.0,1,2006,11
96363,96363,439990.0,350510.0,-1.404883,53.050342,2,1,1,07/11/2005,2,19,4,6179,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2005,11
3129,3129,530190.0,185490.0,-0.12357,51.55323,3,2,1,23/05/2005,2,15,3,5203,One way street,30,3.0,3,2,2.0,4,3,2,0,5.0,1,2005,5
10037,10037,529160.0,175450.0,-0.142093,51.463238,3,1,1,11/01/2005,3,18,4,303,One way street,30,1.0,4,2,4.0,4,3,2,0,5.0,1,2005,1
528963,528963,545480.0,101960.0,0.063034,50.798879,3,1,1,16/03/2007,6,7,4,2109,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2007,3
409337,409337,534250.0,189530.0,-0.063502,51.588585,3,2,1,12/01/2007,6,10,6,0,One way street,30,1.0,3,2,1.0,4,3,2,0,5.0,1,2007,1
354382,354382,290770.0,64590.0,-3.540616,50.470858,3,1,1,09/08/2006,4,16,6,0,One way street,60,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,8
603194,33183,387930.0,400420.0,-2.183436,53.500328,3,2,1,30/08/2009,1,8,6,0,One way street,30,1.0,6,2,1.0,4,3,2,1,5.0,1,2009,8
388980,388980,527110.0,181620.0,-0.169367,51.519152,3,1,1,08/02/2007,5,21,3,4205,One way street,30,1.0,3,2,1.0,3,3,2,0,5.0,1,2007,2
701071,131060,560980.0,99080.0,0.281548,50.768905,2,1,1,21/11/2009,7,14,3,259,One way street,30,3.0,6,2,2.0,4,3,2,0,5.0,1,2009,11
776304,206293,424650.0,563960.0,-1.616474,54.969677,3,1,1,21/05/2010,6,9,5,144,One way street,20,1.0,3,2,1.0,2,3,2,0,5.0,1,2010,5
310980,310980,500810.0,252810.0,-0.527548,52.164324,3,1,1,16/08/2006,4,8,5,46,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,8
564335,564335,258840.0,665230.0,-4.256934,55.85957,3,1,1,21/12/2007,6,15,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,12
228891,228891,368380.0,428120.0,-2.480978,53.748482,3,1,1,30/12/2006,7,14,6,0,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2006,12
17580,17580,525680.0,178390.0,-0.191117,51.490444,3,8,1,29/09/2005,5,7,3,3220,One way street,30,4.0,-1,2,2.0,4,3,2,0,5.0,1,2005,9
826490,256479,616330.0,244010.0,1.153779,52.052184,3,2,1,15/10/2010,6,22,3,137,One way street,30,1.0,3,2,1.0,3,3,2,0,5.0,1,2010,10
1040691,1238,530160.0,179650.0,-0.126159,51.500754,3,1,1,13/03/2012,3,17,3,3212,One way street,30,3.0,3,2,2.0,4,3,2,0,5.0,1,2012,3
309691,309691,627380.0,249170.0,1.318096,52.094079,3,1,1,03/04/2006,2,14,6,3628,One way street,30,1.0,4,2,1.0,4,3,2,0,5.0,1,2006,4
770178,200167,356400.0,409990.0,-2.660083,53.584668,3,3,1,12/11/2010,6,23,6,0,One way street,30,4.0,-1,2,1.0,3,0,1,0,5.0,1,2010,11
158930,158930,180480.0,32770.0,-5.074496,50.154178,3,1,1,19/01/2005,4,9,6,0,One way street,30,1.0,6,2,1.0,4,3,1,0,5.0,1,2005,1
176964,176964,284890.0,379000.0,-3.728571,53.295404,3,1,1,13/07/2005,4,10,3,547,One way street,30,1.0,6,2,4.0,4,3,2,0,5.0,1,2005,7
230177,230177,381320.0,422850.0,-2.284435,53.701741,3,2,1,28/06/2006,4,23,6,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2006,6
546900,546900,400400.0,161510.0,-1.99566,51.352613,3,2,2,03/12/2007,2,10,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2007,12
406008,406008,525800.0,174920.0,-0.190624,51.459231,2,2,1,05/02/2007,2,8,3,217,One way street,30,3.0,5,2,1.0,4,3,2,0,5.0,1,2007,2
160296,160296,229580.0,73130.0,-4.406123,50.532992,3,2,1,03/05/2005,3,17,6,0,One way street,60,4.0,-1,2,1.0,4,3,2,3,5.0,2,2005,5
71539,71539,440620.0,386110.0,-1.390964,53.370287,3,1,1,14/03/2005,2,10,4,6065,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2005,3
888508,318497,524580.0,181300.0,-0.205926,51.51684,3,2,1,24/11/2011,5,19,6,0,One way street,30,3.0,4,2,2.0,3,3,2,0,5.0,1,2011,11
224298,224298,338770.0,555840.0,-2.956194,54.893549,3,1,1,23/06/2006,6,15,6,0,One way street,20,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,6
71509,71509,435100.0,386550.0,-1.473875,53.374636,3,1,1,19/02/2005,7,16,6,0,One way street,30,2.0,6,2,1.0,4,3,2,0,5.0,1,2005,2
200664,200664,527890.0,179570.0,-0.158874,51.500553,3,2,1,16/08/2006,4,15,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,8
818846,248835,459470.0,305380.0,-1.122526,52.642882,2,1,1,28/09/2010,3,16,6,1906,One way street,30,4.0,-1,2,4.0,4,2,2,0,5.0,1,2010,9
891740,321729,523330.0,178570.0,-0.224885,51.492578,3,1,2,06/03/2011,1,19,3,219,One way street,30,1.0,6,2,2.0,3,3,2,0,5.0,1,2011,3
381872,381872,259610.0,664910.0,-4.244476,55.856922,3,1,1,18/07/2006,3,9,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,7
107261,107261,460790.0,305470.0,-1.103004,52.643545,3,1,1,25/07/2005,2,18,6,994,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,7
17661,17661,530640.0,180950.0,-0.118766,51.512327,2,1,1,29/12/2005,5,19,3,4,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2005,12
697857,127846,488590.0,122860.0,-0.738918,50.99826,3,2,1,12/03/2009,5,17,5,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2009,3
870524,300513,369180.0,90540.0,-2.437922,50.713602,3,1,1,18/08/2010,4,14,5,12,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2010,8
207146,207146,542920.0,182170.0,0.058576,51.520319,3,1,1,16/06/2006,6,18,3,13,One way street,50,1.0,3,2,1.0,4,3,2,0,5.0,1,2006,6
1019765,449754,414630.0,129620.0,-1.792607,51.065671,3,1,1,30/05/2011,2,16,6,0,One way street,20,1.0,6,2,1.0,4,5,1,0,5.0,1,2011,5
327537,327537,472050.0,173220.0,-0.964468,51.453334,3,2,1,07/02/2006,3,8,3,329,One way street,30,3.0,6,2,5.0,4,3,2,0,5.0,1,2006,2
491251,491251,623620.0,308530.0,1.302833,52.628399,2,1,2,04/02/2007,1,2,5,860,One way street,30,4.0,-1,2,5.0,3,3,2,0,5.0,1,2007,2
304390,304390,566950.0,266700.0,0.445528,52.273064,2,2,3,08/06/2006,5,10,3,11,One way street,70,4.0,-1,2,1.0,4,3,2,0,5.0,2,2006,6
890942,320931,530200.0,181000.0,-0.125085,51.512877,3,1,1,18/02/2011,6,17,6,0,One way street,30,1.0,4,2,4.0,1,3,2,0,5.0,1,2011,2
759384,189373,331350.0,435170.0,-3.044008,53.80827,3,2,1,12/10/2010,3,17,6,0,One way street,30,1.0,6,2,1.0,4,3,2,1,5.0,1,2010,10
217167,217167,512050.0,176160.0,-0.388061,51.473263,3,1,1,25/05/2006,5,17,3,3006,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,5
168385,168385,357880.0,170610.0,-2.607319,51.432865,3,3,1,14/09/2005,4,5,3,4174,One way street,30,1.0,6,2,1.0,3,5,1,0,5.0,1,2005,9
824845,254834,622700.0,308470.0,1.289223,52.628239,3,1,1,24/11/2010,4,11,6,0,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2010,11
868592,298581,385380.0,158040.0,-2.211206,51.32122,3,1,1,14/01/2010,5,19,4,3109,One way street,30,1.0,4,2,1.0,3,3,2,0,5.0,1,2010,1
795450,225439,406500.0,287230.0,-1.905725,52.482925,3,3,1,04/02/2010,5,15,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2010,2
422047,422047,384050.0,397980.0,-2.241804,53.478291,3,2,2,28/01/2007,1,18,3,34,One way street,30,1.0,6,2,1.0,3,5,1,0,2.0,1,2007,1
972225,402214,475280.0,260490.0,-0.899015,52.237427,3,1,1,11/01/2011,3,14,6,8392,One way street,30,4.0,-1,2,1.0,4,3,1,0,5.0,1,2011,1
785169,215158,408650.0,424950.0,-1.870397,53.720884,2,3,1,25/07/2010,1,11,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2010,7
82679,82679,399990.0,297600.0,-2.00159,52.576189,3,1,1,21/12/2005,4,14,3,4148,One way street,30,1.0,6,2,5.0,4,3,2,0,5.0,1,2005,12
1040604,1151,527500.0,181130.0,-0.163926,51.514661,3,1,1,23/01/2012,2,18,5,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2012,1
393449,393449,538480.0,180320.0,-0.006103,51.5048,3,1,1,24/09/2007,2,21,3,102,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2007,9
887578,317567,233840.0,622350.0,-4.629974,55.46672,3,2,1,13/07/2010,3,15,3,719,One way street,30,3.0,3,2,2.0,4,3,2,0,5.0,1,2010,7
825182,255171,585090.0,264180.0,0.709716,52.244631,3,1,1,01/01/2010,6,23,6,6518,One way street,30,4.0,-1,2,1.0,3,6,3,0,5.0,1,2010,1
80816,80816,404140.0,282450.0,-1.940535,52.439974,3,2,1,05/09/2005,2,10,3,4040,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2005,9
370201,370201,307510.0,190400.0,-3.336957,51.604769,3,2,1,11/04/2006,3,16,6,0,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2006,4
539182,539182,357650.0,170600.0,-2.610626,51.432758,3,2,1,08/01/2007,2,11,3,38,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2007,1
1031811,461800,345990.0,731740.0,-2.878362,56.474724,3,2,1,21/12/2011,4,8,6,0,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2011,12
767253,197242,384830.0,395320.0,-2.229922,53.454405,3,3,1,08/03/2010,2,17,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2010,3
595656,25645,347830.0,461490.0,-2.798273,54.046727,2,1,2,21/07/2009,3,13,3,6,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2009,7
721256,151245,211580.0,212320.0,-4.732754,51.777705,2,2,1,13/02/2009,6,12,4,4315,One way street,60,1.0,6,2,1.0,4,3,2,0,5.0,2,2009,2
226105,226105,348120.0,460970.0,-2.793756,54.042083,3,2,1,24/05/2006,4,8,6,0,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2006,5
819845,249834,486980.0,278800.0,-0.722991,52.400278,3,2,1,19/12/2010,1,20,3,6900,One way street,30,1.0,6,2,1.0,3,3,1,0,5.0,1,2010,12
93271,93271,371600.0,293230.0,-2.420149,52.536157,3,1,1,12/12/2005,2,10,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,12
295,295,526020.0,178400.0,-0.186218,51.490458,2,2,1,16/06/2005,5,23,3,3218,One way street,30,3.0,3,2,1.0,3,3,2,0,5.0,1,2005,6
817714,247703,453750.0,299360.0,-1.208031,52.589364,3,1,1,07/05/2010,6,7,6,4122,One way street,30,1.0,4,2,1.0,4,3,2,0,5.0,1,2010,5
1013946,443935,294137.0,72912.0,-3.495548,50.546292,3,1,1,15/04/2011,6,12,6,0,One way street,30,4.0,-1,2,1.0,4,3,1,0,5.0,1,2011,4
852545,282534,562220.0,174310.0,0.332916,51.444494,2,1,1,13/08/2010,6,19,3,226,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2010,8
668466,98455,654700.0,292620.0,1.748874,52.471997,3,2,1,11/08/2009,3,21,3,12,One way street,30,3.0,6,2,5.0,3,3,2,0,5.0,1,2009,8
649010,78999,436430.0,291820.0,-1.464505,52.523015,3,2,1,02/09/2009,4,11,6,2605,One way street,30,1.0,6,2,1.0,4,3,1,0,5.0,1,2009,9
597939,27928,367680.0,426010.0,-2.491371,53.729474,3,2,2,28/07/2009,3,17,3,666,One way street,30,3.0,6,2,2.0,4,5,1,0,5.0,1,2009,7
94139,94139,431950.0,265350.0,-1.533052,52.285331,3,2,1,21/05/2005,7,23,4,4087,One way street,30,1.0,6,2,5.0,3,5,1,0,5.0,1,2005,5
310558,310558,654930.0,292820.0,1.752405,52.473684,3,1,1,02/10/2006,2,23,3,12,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2006,10
541285,541285,332050.0,161360.0,-2.977073,51.347189,3,2,1,07/07/2007,7,19,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2007,7
850296,280285,576680.0,155740.0,0.531565,51.273356,3,2,1,02/02/2010,3,23,3,20,One way street,30,3.0,6,2,2.0,3,3,1,0,5.0,1,2010,2
660900,90889,481610.0,281280.0,-0.801296,52.423395,3,1,1,09/07/2009,5,15,6,2119,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,2,2009,7
857759,287748,532590.0,103730.0,-0.11913,50.817878,3,2,1,02/11/2010,3,8,4,2066,One way street,30,1.0,6,2,1.0,4,3,1,0,5.0,1,2010,11
557093,557093,195070.0,215330.0,-4.973527,51.79893,3,3,1,20/10/2007,7,20,6,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2007,10
457289,457289,410370.0,288200.0,-1.848708,52.491586,3,1,1,10/08/2007,6,20,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2007,8
503805,503805,570990.0,206430.0,0.474628,51.730456,2,2,2,11/08/2007,7,16,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,8
413558,413558,331250.0,436380.0,-3.045797,53.819131,3,2,2,23/01/2007,3,16,3,586,One way street,30,3.0,6,2,1.0,3,5,1,0,5.0,1,2007,1
571137,1126,530310.0,181570.0,-0.12329,51.517975,3,2,2,06/02/2009,6,2,3,40,One way street,30,1.0,6,2,5.0,3,3,1,0,5.0,1,2009,2
683697,113686,448320.0,129560.0,-1.311842,51.06329,3,1,1,13/02/2009,6,15,6,0,One way street,30,1.0,6,2,5.0,4,3,2,0,5.0,1,2009,2
410621,410621,532550.0,167050.0,-0.096461,51.386966,3,1,2,19/07/2007,5,18,3,213,One way street,30,1.0,3,2,1.0,4,3,2,0,5.0,1,2007,7
272385,272385,410060.0,287670.0,-1.853289,52.486827,3,2,1,17/09/2006,1,18,4,4516,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2006,9
427526,427526,380400.0,410670.0,-2.297599,53.592231,3,2,1,10/03/2007,7,23,5,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2007,3
339086,339086,573700.0,169230.0,0.495461,51.395457,3,2,1,24/04/2006,2,19,3,2,One way street,30,3.0,6,2,2.0,4,3,2,0,5.0,1,2006,4
328586,328586,481230.0,168540.0,-0.83345,51.41002,3,1,1,31/01/2006,3,11,6,7515,One way street,30,4.0,-1,2,5.0,4,3,2,0,5.0,1,2006,1
875919,305908,279490.0,194170.0,-3.742682,51.633348,3,2,1,25/11/2010,5,15,4,4287,One way street,30,1.0,4,2,1.0,4,3,2,0,5.0,2,2010,11
595675,25664,347910.0,462120.0,-2.79716,54.052397,3,1,1,27/08/2009,5,15,3,683,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2009,8
118233,118233,616920.0,244130.0,1.162447,52.053031,3,2,1,27/10/2005,5,16,3,1156,One way street,30,1.0,3,2,4.0,4,3,2,0,1.0,1,2005,10
722398,152387,288220.0,856440.0,-3.871215,57.584199,3,2,1,19/09/2009,7,12,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,1.0,2,2009,9
412311,412311,351670.0,492690.0,-2.744653,54.32749,3,2,1,06/09/2007,5,14,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2007,9
849358,279347,500450.0,158450.0,-0.56003,51.316245,3,2,1,16/07/2010,6,16,3,320,One way street,30,1.0,6,2,4.0,4,3,2,0,5.0,1,2010,7
53294,53294,435620.0,564150.0,-1.445098,54.970723,3,2,1,03/04/2005,1,12,6,436,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2005,4
663011,93000,556840.0,286800.0,0.306871,52.456599,2,1,1,30/05/2009,7,11,5,133,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2009,5
1003222,433211,631210.0,142160.0,1.303359,51.13195,3,3,1,11/04/2011,2,19,3,256,One way street,30,4.0,-1,2,1.0,4,3,2,1,5.0,1,2011,4
330610,330610,458440.0,81600.0,-1.17508,50.631107,2,2,2,23/05/2006,3,21,6,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2006,5
537212,537212,247630.0,54490.0,-4.144039,50.370459,3,1,1,22/10/2007,2,17,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,10
158571,158571,530920.0,104330.0,-0.14261,50.82365,3,1,1,30/12/2005,6,17,6,0,One way street,30,4.0,-1,2,5.0,3,3,1,0,5.0,1,2005,12
489733,489733,537760.0,270060.0,0.019386,52.311337,3,2,1,17/07/2007,3,19,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,2,2007,7
770670,200659,380010.0,405610.0,-2.303166,53.546735,3,1,1,29/03/2010,2,17,6,0,One way street,30,4.0,-1,2,1.0,4,5,1,0,5.0,1,2010,3
316375,316375,570480.0,188720.0,0.458623,51.57152,3,2,1,13/02/2006,2,16,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2006,2
697139,127128,523210.0,106100.0,-0.251425,50.84125,3,1,1,07/01/2009,4,16,6,0,One way street,30,1.0,5,2,1.0,4,3,2,0,5.0,1,2009,1
901443,331432,538290.0,177680.0,-0.009873,51.481122,3,2,1,31/12/2011,7,13,3,200,One way street,30,1.0,3,2,4.0,4,3,2,0,5.0,1,2011,12
127170,127170,599930.0,225110.0,0.90393,51.88863,3,1,1,17/06/2005,6,14,3,137,One way street,30,3.0,6,2,5.0,4,3,2,0,5.0,1,2005,6
1041700,2247,528370.0,179400.0,-0.152024,51.498917,3,1,1,01/11/2012,5,18,4,310,One way street,30,1.0,4,2,4.0,2,3,1,0,5.0,1,2012,11
757561,187550,525760.0,164360.0,-0.194941,51.364334,3,2,1,28/07/2010,4,17,4,2230,One way street,30,1.0,6,2,5.0,4,3,2,0,5.0,1,2010,7
968496,398485,497440.0,371270.0,-0.541744,53.229525,3,2,1,02/12/2011,6,15,6,0,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2011,12
99517,99517,453540.0,361150.0,-1.200991,53.144795,3,2,1,11/04/2005,2,13,6,0,One way street,30,1.0,6,2,5.0,4,3,2,0,5.0,1,2005,4
384475,384475,227550.0,676590.0,-4.76352,55.951345,3,2,1,05/12/2006,3,9,6,0,One way street,30,1.0,6,2,1.0,4,3,1,0,5.0,1,2006,12
686304,116293,449820.0,89170.0,-1.295933,50.699978,3,2,1,17/09/2009,5,8,4,3323,One way street,30,4.0,-1,2,2.0,4,3,2,0,5.0,1,2009,9
469790,469790,381180.0,271420.0,-2.277676,52.3405,3,1,2,09/06/2007,7,10,3,4025,One way street,30,4.0,-1,2,3.0,4,3,2,0,5.0,1,2007,6
570684,673,531710.0,181640.0,-0.103098,51.518279,3,1,1,30/01/2009,6,8,5,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2009,1
945938,375927,503360.0,426350.0,-0.434984,53.723318,3,3,1,09/07/2011,7,14,6,0,One way street,30,4.0,-1,2,1.0,4,5,1,0,5.0,1,2011,7
908013,338002,527890.0,175020.0,-0.16052,51.459662,3,1,1,20/08/2011,7,10,3,205,One way street,30,1.0,6,2,5.0,4,3,2,0,5.0,1,2011,8
493875,493875,587570.0,241300.0,0.73338,52.038321,3,2,1,30/06/2007,7,7,3,131,One way street,30,1.0,3,2,1.0,4,3,2,0,5.0,1,2007,6
355503,355503,361170.0,173460.0,-2.560307,51.458726,3,3,1,27/01/2006,6,12,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2006,1
944744,374733,527750.0,409530.0,-0.072449,53.566823,3,2,1,29/07/2011,6,8,6,0,One way street,30,1.0,6,2,1.0,4,3,2,0,5.0,1,2011,7
185718,185718,345040.0,1011100.0,-2.957878,58.983601,3,1,1,16/08/2005,3,21,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,2,2005,8
549875,549875,300760.0,381240.0,-3.491255,53.318745,3,1,1,22/09/2007,7,11,6,0,One way street,30,4.0,-1,2,1.0,4,3,2,0,5.0,1,2007,9
1594,1594,526680.0,180760.0,-0.17587,51.51152,2,1,1,29/05/2005,1,19,3,402,One way street,30,3.0,3,2,2.0,4,3,2,0,5.0,1,2005,5
698220,128209,531350.0,104020.0,-0.13662,50.820766,2,1,1,16/04/2009,5,2,3,23,One way street,30,4.0,-1,2,5.0,3,3,2,0,5.0,1,2009,4
1016977,446966,359810.0,173210.0,-2.579853,51.456383,3,2,1,17/05/2011,3,9,3,420,One way street,30,3.0,6,2,2.0,4,3,2,0,5.0,1,2011,5
357660,357660,358860.0,172680.0,-2.593463,51.451549,3,2,2,07/07/2006,6,1,6,0,One way street,30,1.0,6,2,1.0,3,5,1,0,5.0,1,2006,7
657578,87567,497450.0,368650.0,-0.542394,53.205979,3,2,1,05/10/2009,2,7,6,0,One way street,30,1.0,3,2,5.0,4,3,2,0,5.0,1,2009,10
890777,320766,529790.0,180970.0,-0.131001,51.512702,3,1,1,05/12/2011,2,23,6,0,One way street,30,1.0,6,2,1.0,3,3,2,0,5.0,1,2011,12
59471,59471,460360.0,451830.0,-1.081559,53.959043,3,1,1,22/04/2005,6,15,6,0,One way street,30,4.0,-1,2,4.0,4,3,2,0,5.0,1,2005,4
121830,121830,505710.0,206590.0,-0.470143,51.747996,3,1,1,12/02/2005,7,15,6,897,One way street,30,4.0,-1,2,1.0,4,0,1,0,5.0,1,2005,2
195405,195405,230600.0,681840.0,-4.718038,55.999548,3,2,1,20/05/2005,6,16,3,814,One way street,30,1.0,6,2,1.0,4,5,1,0,5.0,1,2005,5
391424,391424,529620.0,183500.0,-0.132519,51.535478,3,2,1,04/12/2007,3,21,3,5202,One way street,30,3.0,3,2,2.0,3,3,2,0,5.0,1,2007,12
1038951,468940,233600.0,622170.0,-4.633658,55.465023,3,2,1,11/11/2011,6,17,6,0,One way street,30,1.0,6,2,1.0,3,5,1,0,5.0,1,2011,11
883594,313583,258830.0,665760.0,-4.25737,55.864326,1,1,1,27/01/2010,4,12,6,0,One way street,30,4.0,-1,2,5.0,4,3,1,0,5.0,1,2010,1
289686,289686,443480.0,342100.0,-1.353952,52.974475,2,2,3,25/12/2006,2,16,3,609,One way street,40,4.0,-1,2,1.0,3,3,1,0,5.0,2,2006,12
969972,399961,458700.0,303300.0,-1.134274,52.624269,2,2,1,24/05/2011,3,17,3,594,One way street,30,3.0,5,2,2.0,4,3,2,0,5.0,1,2011,5
948139,378128,394940.0,296490.0,-2.076094,52.566186,3,1,1,05/01/2011,4,21,6,0,One way street,30,4.0,-1,2,1.0,3,3,2,0,5.0,1,2011,1
10269,10269,530260.0,172660.0,-0.127293,51.437913,3,1,1,11/05/2005,4,23,3,23,One way street,30,3.0,5,2,2.0,3,3,2,0,5.0,1,2005,5
167451,167451,366850.0,176930.0,-2.478882,51.490288,2,2,1,10/07/2005,1,17,6,0,One way street,20,4.0,-1,2,1.0,4,3,2,0,5.0,1,2005,7
652048,82037,435510.0,335520.0,-1.473354,52.915913,3,3,1,18/11/2009,4,13,6,0,One way street,30,1.0,3,2,5.0,4,0,1,0,5.0,1,2009,11
756970,186959,533470.0,170460.0,-0.081965,51.417396,3,2,1,09/08/2010,2,14,5,0,One way street,30,1.0,6,2,1.0,4,3,2,1,5.0,1,2010,8
742168,172157,541010.0,184690.0,0.032073,51.543443,3,2,1,28/11/2010,1,16,6,0,One way street,30,1.0,4,2,1.0,4,6,2,0,5.0,1,2010,11
